Complexity,Loss,Equation
1,0.12638611016804296,"0.7710047840685353"
3,0.08791332744942336,"(0.2522388145954091 * x2)"
4,0.08379930803760487,"(sqrt(x2) * 0.4519583694316584)"
8,0.0835593845551083,"cos(cos(exp(cos(sqrt(0.8228517394250211))) / x3))"
9,0.08317995488032902,"cos(cos(exp(cos(sin(sqrt(0.8228517394250211)))) / x3))"
10,0.07794614719613095,"sin(sqrt(square(sqrt(sqrt(x2 * 0.6836769342137342) / x3))))"
18,0.07282184062310294,"(exp(sin(square(cos(sin(sqrt(exp(sin(square(sqrt(2.292397675745789 / sqrt(x1)))))) / x1))))) / x3)"
