Complexity,Loss,Equation
1,5.02448223198531e-7,"0.0011872500531899199"
3,1.7779429775683985e-7,"(x2 * 0.0006305701542423625)"
6,1.1267064786486478e-7,"((cos(0.4987390394246033) - x2) * -0.0011568643742916151)"
7,1.0263665060289502e-7,"((sqrt(sqrt(x1)) - x2) * -0.0011568643742916151)"
9,9.875737384149784e-8,"((cos(sqrt(0.4987390394246033) + -0.9528247460474324) - x2) * -0.0011568643742916151)"
15,9.858498108903402e-8,"((cos(sqrt(sqrt(exp(x2 * -0.7315320652447344)) / 0.4987390394246033) + -0.9528247460474324) - x2) * -0.0011568643742916151)"
