Complexity,Loss,Equation
1,0.18498091816531492,"0.28956540258806"
3,0.1223038393079761,"(0.8541193428490697 / x1)"
4,0.04398137177136556,"(x2 / exp(x1))"
6,0.038226169124930195,"(x2 / exp(x1 * 0.858784291182643))"
7,0.03763053776954226,"(x2 / exp(x1 * sqrt(0.8097455821154814)))"
8,0.023316823532169444,"((x2 - 0.858784291182643) / exp(x1 * 0.7490881697851264))"
10,0.02326780362388481,"((x2 - sqrt(sin(0.858784291182643))) / exp(x1 * 0.7490881697851264))"
11,0.019424784653697465,"((x2 - sqrt(x1 * 0.724111730198348)) / exp(x1 * 0.6896826822453606))"
