Complexity,Loss,Equation
1,0.4976978891003773,"4.508449843071591"
3,0.3025786250537243,"(x4 + 0.5017841717721333)"
4,0.30257835464433985,"(x4 + square(0.7142532550299762))"
5,0.12460669653902372,"(x4 + (x2 - x5))"
