Complexity,Loss,Equation
1,1.6187799859879944e-39,"4.0234064994579266e-20"
7,7.515183497762423e-43,"(exp(cos(square(exp(x1)))) * 5.839895124624375e-22)"
8,1.830069089233909e-43,"(cos(exp(cos(square(exp(x1))))) * 5.839895124624375e-22)"
9,1.3737613314062342e-43,"((exp(cos(square(exp(x1)))) * 5.839895124624375e-22) / x1)"
10,3.721591973270019e-44,"((cos(exp(cos(square(exp(x1))))) * 5.839895124624375e-22) / x1)"
11,3.6136476818204874e-44,"((cos(exp(cos(square(exp(square(x1)))))) * 5.839895124624375e-22) / x1)"
19,8.542735063432224e-145,"exp(sqrt(exp(sin(sqrt(exp(sin(sqrt(sin(x1) / (sin(x1) / 6.735080010063384))) - x1))))) - 167.05855595523505)"
20,0.0,"square(exp(sin(x2 * sqrt((square(sqrt(sqrt(sin(sqrt(x1))))) - -12.65186608983922) + x1)) + (x2 * -336.87541872199614)))"
