Complexity,Loss,Equation
1,0.20263083618687072,"0.5685400457001653"
3,0.12994751744497204,"(1.417772487135497 / x3)"
4,0.09265603461608449,"(sqrt(x1) / x3)"
6,0.07746651632007767,"((sqrt(x1) - 0.3297187480945298) / x3)"
