Complexity,Loss,Equation
1,1.7122581093978583e-7,"4.867968184779289e-6"
3,1.711956193184374e-7,"(x1 * 2.2928436097825958e-6)"
5,1.7114714153458343e-7,"(4.867968184779289e-6 / (x3 + -0.606081591112651))"
6,1.711427137432817e-7,"(4.867968184779289e-6 / (square(x3) + -0.606081591112651))"
