Complexity,Loss,Equation
1,0.015793494828247448,"0.05362820860535251"
3,0.013437008053143646,"(x1 * 0.02250758502081572)"
4,0.013050572072063499,"(0.47959397169530626 / exp(x3))"
5,0.010875051449876319,"(x1 / square(exp(x3)))"
6,0.0107677680089004,"sin(x1 / square(exp(x3)))"
7,0.008748465698292622,"square((0.47959397169530626 * x1) / exp(x3))"
8,0.00869474277223815,"sin(square((0.47959397169530626 * x1) / exp(x3)))"
9,0.007899885793619638,"sin(square((0.47959397169530626 * x1) / exp(sqrt(x3))))"
